사건번호,법원,아파트명,동,호수,층,전용평,대지평,감정가억,최저가억,낙찰가억,낙찰가율,입찰자수,유찰횟수,매각일,조회수,특수조건,재건축,소형여부,구
2025-13581,북부,상계주공206동,206,1104,11,17.55,13.15,6.23,6.23,6.58,106,8,0,2026-06-16,261,없음,Y,Y,노원
2025-13817,북부,하계벽산11동,11,107,1,17.46,8.28,5.38,5.38,5.92,110,3,0,2026-06-16,141,없음,Y,Y,노원
2025-12661,북부,중계동건영101동,101,604,6,18.13,5.51,4.30,4.30,4.39,102,1,0,2026-06-09,255,없음,N,Y,노원
2025-12375,북부,상계미도102동,102,907,9,26.49,14.15,7.39,5.912,7.44,101,12,1,2026-04-28,1208,없음,Y,N,노원
2025-11786,남부,구로신도림미성101동,101,1310,13,11.47,5.68,5.30,5.30,6.52,123,22,0,2026-06-18,353,없음,Y,Y,구로
2024-3033,동부,거여5단지505동,505,404,4,18.07,6.63,8.31,8.31,12.215,147,33,0,2026-04-27,1333,없음,Y,Y,송파
